Date,Open,High,Low,Close,Volume,Adj Close,Drawdown
2010-07-30,10607.8,10638.6,10430.3,10499.8,214600,10499.8,-0.34152781000520527
2010-08-02,10535.4,10860.8,10489.8,10835.4,219400,10835.4,-0.32048138369591805
2010-08-03,10781.9,10884.0,10727.4,10871.4,183000,10871.4,-0.31822372175570834
2010-08-04,10865.4,10905.7,10720.5,10843.3,150800,10843.3,-0.31998595232570537
2010-08-05,10868.4,10953.1,10786.4,10840.0,150200,10840.0,-0.32019290467022454
2010-08-06,10886.2,10907.3,10576.5,10651.1,166800,10651.1,-0.3320393585731576
2010-08-09,10802.8,10831.2,10764.8,10812.6,106400,10812.6,-0.32191123625805074
2010-08-10,10757.3,10801.9,10673.9,10718.5,117600,10718.5,-0.3278125137184319
2010-08-11,10631.9,10688.1,10336.0,10374.8,208200,10374.8,-0.3493669139642662
2010-08-12,10335.0,10432.4,10259.7,10342.4,173600,10342.4,-0.3513988097104548
2010-08-13,10438.4,10448.2,10201.6,10275.8,165400,10275.8,-0.35557548429984254
2010-08-16,10284.5,10335.7,10143.7,10258.3,119600,10258.3,-0.3566729588541111
2010-08-17,10283.7,10380.5,10203.9,10369.5,138800,10369.5,-0.34969929197213045
2010-08-18,10322.8,10411.9,10250.9,10391.0,107400,10391.0,-0.3483509660911719
2010-08-19,10441.0,10538.2,10225.6,10238.0,175800,10238.0,-0.35794602933706254
2010-08-20,10220.9,10302.6,10018.7,10094.3,154400,10094.3,-0.3669578632483993
2010-08-23,10117.1,10306.2,10087.7,10221.2,119938000,10221.2,-0.3589996049091604
2010-08-24,10129.5,10140.7,9954.8,10052.3,157979000,10052.3,-0.36959180217864374
2010-08-25,10034.7,10088.7,9773.8,9894.0,186301000,9894.0,-0.3795192434323986
2010-08-26,9992.8,10056.4,9934.8,10004.4,138039000,10004.4,-0.372595746815756
2010-08-27,9951.3,10164.8,9938.1,10148.2,148166000,10148.2,-0.36357764162125195
2010-08-30,10201.5,10211.6,10097.7,10136.0,74499000,10136.0,-0.3643427381676564
2010-08-31,9980.9,10187.0,9964.2,10187.0,181126000,10187.0,-0.36114438375235947
2010-09-01,10232.7,10544.8,10170.1,10544.8,200281000,10544.8,-0.3387057325799432
2010-09-02,10513.9,10578.6,10467.7,10537.6,148750000,10537.6,-0.33915726496798504
2010-09-03,10556.9,10708.8,10503.1,10599.4,180728000,10599.4,-0.33528161197062534
2010-09-06,10678.8,10678.9,10597.9,10622.7,79130000,10622.7,-0.33382040299265625
2010-09-07,10579.2,10592.4,10410.3,10479.1,145891000,10479.1,-0.3428259656208257
2010-09-08,10449.1,10609.4,10420.0,10586.2,147374000,10586.2,-0.33610942134870214
2010-09-09,10547.3,10773.6,10497.9,10712.9,186434000,10712.9,-0.3281637055757979
2010-09-10,10642.7,10725.0,10622.7,10689.6,140766000,10689.6,-0.32962491455376675
2010-09-13,10775.7,10831.2,10734.0,10765.2,154164000,10765.2,-0.3248838244793266
2010-09-14,10759.9,10835.0,10689.9,10806.6,161443000,10806.6,-0.3222875132480856
2010-09-15,10846.0,10846.5,10670.0,10751.8,146178000,10751.8,-0.3257241764237381
2010-09-16,10741.8,10787.6,10703.5,10716.8,133924000,10716.8,-0.3279191255322752
2010-09-17,10799.6,10839.7,10544.4,10588.6,313047000,10588.6,-0.3359589105526881
2010-09-20,10622.1,10751.3,10569.1,10743.1,173247000,10743.1,-0.3262697780592886
2010-09-21,10718.2,10902.5,10718.1,10762.5,213903000,10762.5,-0.3250531491248424
2010-09-22,10803.9,10805.5,10511.9,10555.2,220396000,10555.2,-0.33805351913054926
2010-09-23,10652.8,10653.5,10401.8,10501.5,229657000,10501.5,-0.34142119819136196
2010-09-24,10456.9,10748.4,10418.4,10727.6,234779000,10727.6,-0.3272418269502122
2010-09-27,10732.0,10767.3,10574.8,10613.0,147302000,10613.0,-0.33442871745987934
2010-09-28,10570.9,10664.0,10413.6,10590.7,207880000,10590.7,-0.33582721360617596
2010-09-29,10610.4,10670.3,10427.3,10486.8,175515000,10486.8,-0.34234307681694753
2010-09-30,10407.4,10681.0,10378.8,10514.5,233735000,10514.5,-0.3406059313796196
2010-10-01,10520.1,10638.0,10391.6,10450.1,227229000,10450.1,-0.34464463773932785
2010-10-04,10449.2,10493.3,10310.2,10383.0,186749000,10383.0,-0.3488526687445518
2010-10-05,10404.5,10654.7,10341.0,10651.2,205515000,10651.2,-0.33203308728999026
2010-10-06,10724.6,10803.3,10674.3,10700.2,225497000,10700.2,-0.3289601585380384
2010-10-07,10701.4,10830.2,10595.5,10740.3,177982000,10740.3,-0.3264453739879717
2010-10-08,10705.9,10758.1,10632.0,10720.8,156847000,10720.8,-0.3276682742055852
